article,category,date,source,title,url
,정치,2017.05.01,조선일보,전자상거래 종사자 1000여명 문재인 지지선언,http://v.media.daum.net/v/20170501145424547

,정치,2017.05.01,중앙일보,"문재인 측 ""특검 한다면 수사 대상은 홍준표"" 한국당 文 특검 발의 비난",http://v.media.daum.net/v/20170501190649099

,정치,2017.05.01,동아일보,"차기 정부, 트럼프 행정부와 대화채널 복원.. 윈윈전략 모색을",http://v.media.daum.net/v/20170501030300529

,정치,2017.05.01,조선일보,"安, 민주노총 반발로 전태일 동상 앞 헌화 행사 취소",http://v.media.daum.net/v/20170501141443531

,정치,2017.05.01,조선일보,"""우리 000후보야말로"" 대선 유세 소음, 공사장 소음의 100배",http://v.media.daum.net/v/20170501134200647

